Price,address,Local_area,zipcode,beds,baths,sqft,url
229900,11444 N 28th Dr APT 14,Phoenix,85029,2,3,1498,https://www.zillow.com/homedetails/11444-N-28th-Dr-APT-14-Phoenix-AZ-85029/7750068_zpid/
294900,107 W Camino Rancho Lucido,Sahuarita,85629,4,3,1951,https://www.zillow.com/homedetails/107-W-Camino-Rancho-Lucido-Sahuarita-AZ-85629/59833790_zpid/
683100,3320 E Briarwood Ter,Phoenix,85048,4,4,3110,https://www.zillow.com/homedetails/3320-E-Briarwood-Ter-Phoenix-AZ-85048/67759175_zpid/
260000,2401 N 70th St APT H,Scottsdale,85257,2,1,759,https://www.zillow.com/homedetails/2401-N-70th-St-APT-H-Scottsdale-AZ-85257/7569063_zpid/
290900,3781 E Sierrita Rd,San Tan Valley,85143,2,2,1052,https://www.zillow.com/homedetails/3781-E-Sierrita-Rd-San-Tan-Valley-AZ-85143/67435958_zpid/
377900,1120 S 225th Ln,Buckeye,85326,5,3,2267,https://www.zillow.com/homedetails/1120-S-225th-Ln-Buckeye-AZ-85326/68960941_zpid/
344900,43994 W Cypress Ln,Maricopa,85138,3,3,2200,https://www.zillow.com/homedetails/43994-W-Cypress-Ln-Maricopa-AZ-85138/67438054_zpid/
269100,1805 N 84th Ave,Phoenix,85037,2,1,911,https://www.zillow.com/homedetails/1805-N-84th-Ave-Phoenix-AZ-85037/7487970_zpid/
700900,4245 E Palo Verde St,Gilbert,85296,3,3,2661,https://www.zillow.com/homedetails/4245-E-Palo-Verde-St-Gilbert-AZ-85296/125121054_zpid/
647900,4645 E Runaway Bay Dr,Chandler,85249,3,2,2309,https://www.zillow.com/homedetails/4645-E-Runaway-Bay-Dr-Chandler-AZ-85249/57688702_zpid/
534900,2042 E Saltsage Dr,Phoenix,85048,3,3,1755,https://www.zillow.com/homedetails/2042-E-Saltsage-Dr-Phoenix-AZ-85048/8257212_zpid/
493200,25722 N 122nd Ave,Peoria,85383,3,3,2431,https://www.zillow.com/homedetails/25722-N-122nd-Ave-Peoria-AZ-85383/95145554_zpid/
483900,12999 N 93rd Dr,Peoria,85381,3,2,1516,https://www.zillow.com/homedetails/12999-N-93rd-Dr-Peoria-AZ-85381/95091427_zpid/
428900,14159 W Columbus Ave,Goodyear,85395,4,3,2111,https://www.zillow.com/homedetails/14159-W-Columbus-Ave-Goodyear-AZ-85395/50204611_zpid/
444900,6219 W Navajo Dr,Glendale,85302,4,3,2183,https://www.zillow.com/homedetails/6219-W-Navajo-Dr-Glendale-AZ-85302/7704208_zpid/
229900,6957 E Calle Orion,Tucson,85710,3,1,1434,https://www.zillow.com/homedetails/6957-E-Calle-Orion-Tucson-AZ-85710/8544282_zpid/
546800,8960 E Shangri La Rd,Scottsdale,85260,3,3,2172,https://www.zillow.com/homedetails/8960-E-Shangri-La-Rd-Scottsdale-AZ-85260/8064235_zpid/
496900,10259 W Townley Ave,Peoria,85345,4,3,2731,https://www.zillow.com/homedetails/10259-W-Townley-Ave-Peoria-AZ-85345/240309966_zpid/
356100,14223 W Yosemite Dr,Sun City West,85375,2,2,1391,https://www.zillow.com/homedetails/14223-W-Yosemite-Dr-Sun-City-West-AZ-85375/8114236_zpid/
460300,1685 E Deer Shadow Ln,Tucson,85737,3,3,2220,https://www.zillow.com/homedetails/1685-E-Deer-Shadow-Ln-Tucson-AZ-85737/8608459_zpid/
456900,658 S 223rd Ln,Buckeye,85326,4,3,2267,https://www.zillow.com/homedetails/658-S-223rd-Ln-Buckeye-AZ-85326/67787107_zpid/
1149000,28835 N 64th St,Cave Creek,85331,3,3,3446,https://www.zillow.com/homedetails/28835-N-64th-St-Cave-Creek-AZ-85331/82801096_zpid/
304900,4852 E Euclid Ave UNIT 2,Phoenix,85044,2,2,1015,https://www.zillow.com/homedetails/4852-E-Euclid-Ave-UNIT-2-Phoenix-AZ-85044/8139386_zpid/
559900,11076 N Divot Dr,Tucson,85737,3,2,2450,https://www.zillow.com/homedetails/11076-N-Divot-Dr-Tucson-AZ-85737/8625958_zpid/
375000,6928 E Madero Ave,Mesa,85209,3,2,1459,https://www.zillow.com/homedetails/6928-E-Madero-Ave-Mesa-AZ-85209/8273958_zpid/
221000,27500 N Cochie Canyon Trl,Marana,85658,2,3,3005,https://www.zillow.com/homedetails/27500-N-Cochie-Canyon-Trl-Marana-AZ-85658/2103674073_zpid/
175000,2615 W Highland Ave,Phoenix,85017,2,2,1088,https://www.zillow.com/homedetails/2615-W-Highland-Ave-Phoenix-AZ-85017/7765946_zpid/
410000,1495 S Winslow Way,Cornville,86325,4,3,2178,https://www.zillow.com/homedetails/1495-S-Winslow-Way-Cornville-AZ-86325/8780459_zpid/
549000,906 McCulloch Blvd S,Lake Havasu City,86406,4,3,1860,https://www.zillow.com/homedetails/906-McCulloch-Blvd-S-Lake-Havasu-City-AZ-86406/295480138_zpid/
210000,1295 S Kelson Pl,Safford,85546,3,2,1318,https://www.zillow.com/homedetails/1295-S-Kelson-Pl-Safford-AZ-85546/247910306_zpid/
389900,4225 E Brookwood Ct,Phoenix,85048,3,2,1352,https://www.zillow.com/homedetails/4225-E-Brookwood-Ct-Phoenix-AZ-85048/8259599_zpid/
379000,3259 Thunderbird Dr,Lake Havasu City,86406,3,2,1453,https://www.zillow.com/homedetails/3259-Thunderbird-Dr-Lake-Havasu-City-AZ-86406/104028182_zpid/
725000,5536 Lemonmint Ln,Prescott,86305,3,2,2561,https://www.zillow.com/homedetails/5536-Lemonmint-Ln-Prescott-AZ-86305/64962427_zpid/
414900,11640 N Tatum Blvd UNIT 1010,Phoenix,85028,2,2,1147,https://www.zillow.com/homedetails/11640-N-Tatum-Blvd-UNIT-1010-Phoenix-AZ-85028/82821100_zpid/
268900,5125 S Missiondale Rd,Tucson,85706,2,1,1015,https://www.zillow.com/homedetails/5125-S-Missiondale-Rd-Tucson-AZ-85706/8560304_zpid/
392000,7724 W Oraibi Dr,Glendale,85308,3,3,1422,https://www.zillow.com/homedetails/7724-W-Oraibi-Dr-Glendale-AZ-85308/7891700_zpid/
665000,361 E Hopkins Rd,Gilbert,85295,4,3,2407,https://www.zillow.com/homedetails/361-E-Hopkins-Rd-Gilbert-AZ-85295/52433717_zpid/
325000,86 E Zinnia Pl,San Tan Valley,85143,3,2,1402,https://www.zillow.com/homedetails/86-E-Zinnia-Pl-San-Tan-Valley-AZ-85143/60140879_zpid/
189000,2733 S Player Ave,Sierra Vista,85650,3,2,1627,https://www.zillow.com/homedetails/2733-S-Player-Ave-Sierra-Vista-AZ-85650/2069536856_zpid/
425000,2820 E Carla Vista Dr,Chandler,85225,3,2,1623,https://www.zillow.com/homedetails/2820-E-Carla-Vista-Dr-Chandler-AZ-85225/8284277_zpid/
385000,6105 Winchester Dr,Prescott Valley,86314,3,2,1461,https://www.zillow.com/homedetails/6105-Winchester-Dr-Prescott-Valley-AZ-86314/8732424_zpid/
240000,2109 W Rose Garden Ln,Phoenix,85027,3,2,1092,https://www.zillow.com/homedetails/2109-W-Rose-Garden-Ln-Phoenix-AZ-85027/7970917_zpid/
700000,1810 E Willetta St,Phoenix,85006,3,3,2076,https://www.zillow.com/homedetails/1810-E-Willetta-St-Phoenix-AZ-85006/7528786_zpid/
384900,10101 N Arabian Trl UNIT 2043,Scottsdale,85258,2,2,1076,https://www.zillow.com/homedetails/10101-N-Arabian-Trl-UNIT-2043-Scottsdale-AZ-85258/50180614_zpid/
390900,936 W Summit Pl,Chandler,85225,2,2,1170,https://www.zillow.com/homedetails/936-W-Summit-Pl-Chandler-AZ-85225/8200144_zpid/
575000,19344 W Oregon Ave,Litchfield Park,85340,4,3,2985,https://www.zillow.com/homedetails/19344-W-Oregon-Ave-Litchfield-Park-AZ-85340/95080258_zpid/
1399000,25008 S 195th St,Queen Creek,85142,5,4,3855,https://www.zillow.com/homedetails/25008-S-195th-St-Queen-Creek-AZ-85142/95137492_zpid/
250000,8680 E Desert Spring St,Tucson,85730,3,2,1577,https://www.zillow.com/homedetails/8680-E-Desert-Spring-St-Tucson-AZ-85730/8555195_zpid/
544900,3289 E Carla Vista Dr,Gilbert,85295,4,3,2356,https://www.zillow.com/homedetails/3289-E-Carla-Vista-Dr-Gilbert-AZ-85295/82825110_zpid/
269900,8511 W Altos Dr,Arizona City,85123,3,2,1401,https://www.zillow.com/homedetails/8511-W-Altos-Dr-Arizona-City-AZ-85123/67423450_zpid/
